id	effectiveTime	active	moduleId	definitionStatusId
667009	20020131	1	900000000000207008	900000000000074008
762008	20070731	1	900000000000207008	900000000000073002
774007	20020131	1	900000000000207008	900000000000074008
1086007	20020131	1	900000000000207008	900000000000074008
1101003	20020131	1	900000000000207008	900000000000074008
1417002	20050131	1	900000000000207008	900000000000073002
2119009	20020131	1	900000000000207008	900000000000073002
2533004	20020731	0	900000000000207008	900000000000074008
2861001	20020131	1	900000000000207008	900000000000074008
2949005	20020131	1	900000000000207008	900000000000074008
2969000	20020131	1	900000000000207008	900000000000074008
4147007	20020131	1	900000000000207008	900000000000074008
4365001	20020131	1	900000000000207008	900000000000073002
4626009	20020131	1	900000000000207008	900000000000073002
4970003	20040731	1	900000000000207008	900000000000073002
5131003	20020131	1	900000000000207008	900000000000073002
6834003	20020131	1	900000000000207008	900000000000074008
7140000	20020131	1	900000000000207008	900000000000074008
7396004	20030731	0	900000000000207008	900000000000074008
8533009	20020131	1	900000000000207008	900000000000074008
9990009	20020131	1	900000000000207008	900000000000074008
11527006	20020131	1	900000000000207008	900000000000074008
11802008	20040131	0	900000000000207008	900000000000074008
12738006	20020131	1	900000000000207008	900000000000074008
12921003	20020131	1	900000000000207008	900000000000074008
14799000	20020131	1	900000000000207008	900000000000074008
15328005	20020131	1	900000000000207008	900000000000074008
17679005	20020131	1	900000000000207008	900000000000073002
18373002	20020131	1	900000000000207008	900000000000074008
18629005	20080731	1	900000000000207008	900000000000073002
21483005	20020131	1	900000000000207008	900000000000074008
21514008	20020131	1	900000000000207008	900000000000074008
21793004	20020131	1	900000000000207008	900000000000074008
22943007	20020131	1	900000000000207008	900000000000074008
23853001	20020131	1	900000000000207008	900000000000073002
24456005	20020131	1	900000000000207008	900000000000073002
25087005	20020131	1	900000000000207008	900000000000074008
26107004	20020131	1	900000000000207008	900000000000074008
26864007	20020131	1	900000000000207008	900000000000074008
27352000	20020131	1	900000000000207008	900000000000073002
27483000	20030131	1	900000000000207008	900000000000073002
27832009	20020131	1	900000000000207008	900000000000074008
29092000	20020131	1	900000000000207008	900000000000074008
29357002	20020131	1	900000000000207008	900000000000073002
30217000	20020131	1	900000000000207008	900000000000074008
30904006	20020131	1	900000000000207008	900000000000073002
31375009	20030731	0	900000000000207008	900000000000074008
32962002	20030731	1	900000000000207008	900000000000073002
33565001	20090731	0	900000000000207008	900000000000074008
33638001	20020131	1	900000000000207008	900000000000074008
34945008	20100731	1	900000000000207008	900000000000074008
35549004	20130731	1	900000000000207008	900000000000073002
36771004	20070131	1	900000000000207008	900000000000074008
37884009	20020131	1	900000000000207008	900000000000073002
38266002	20020131	1	900000000000207008	900000000000074008
38318006	20040131	0	900000000000207008	900000000000074008
38629001	20030131	1	900000000000207008	900000000000073002
38807002	20020731	0	900000000000207008	900000000000074008
38866009	20020131	1	900000000000207008	900000000000074008
39499005	20020131	1	900000000000207008	900000000000074008
39821008	20020131	1	900000000000207008	900000000000074008
39891004	20020131	1	900000000000207008	900000000000073002
40818001	20020131	1	900000000000207008	900000000000074008
41747008	20050131	1	900000000000207008	900000000000073002
41751005	20090731	1	900000000000207008	900000000000074008
41796003	20020131	1	900000000000207008	900000000000074008
42030000	20020131	1	900000000000207008	900000000000073002
42752001	20110131	1	900000000000012004	900000000000074008
43174007	20020131	1	900000000000207008	900000000000074008
43526002	20020131	1	900000000000207008	900000000000074008
43799004	20020131	1	900000000000207008	900000000000074008
44300000	20020131	1	900000000000207008	900000000000074008
45048000	20020131	1	900000000000207008	900000000000074008
45554006	20020131	1	900000000000207008	900000000000073002
46197000	20050131	0	900000000000207008	900000000000074008
47429007	20110131	1	900000000000012004	900000000000074008
47585001	20070131	1	900000000000207008	900000000000073002
48176007	20020131	1	900000000000207008	900000000000074008
48450000	20020131	1	900000000000207008	900000000000073002
48692003	20030131	0	900000000000207008	900000000000074008
49062001	20020131	1	900000000000207008	900000000000074008
49755003	20020131	1	900000000000207008	900000000000074008
50731006	20020131	1	900000000000207008	900000000000074008
51114001	20020131	1	900000000000207008	900000000000074008
51185008	20020131	1	900000000000207008	900000000000074008
51282000	20020131	1	900000000000207008	900000000000074008
51487009	20020131	1	900000000000207008	900000000000073002
51860002	20020131	1	900000000000207008	900000000000073002
52530000	20020131	1	900000000000207008	900000000000074008
52731004	20020131	1	900000000000207008	900000000000074008
52988006	20150131	1	900000000000207008	900000000000074008
53065001	20020131	1	900000000000207008	900000000000074008
53418001	20020131	1	900000000000207008	900000000000074008
53438000	20020131	1	900000000000207008	900000000000074008
53452003	20020131	1	900000000000207008	900000000000074008
53579001	20020131	1	900000000000207008	900000000000073002
55342001	20020131	1	900000000000207008	900000000000073002
55460000	20020131	1	900000000000207008	900000000000074008
55574009	20020131	1	900000000000207008	900000000000074008
55587003	20030731	0	900000000000207008	900000000000074008
56002005	20050131	0	900000000000207008	900000000000074008
56222002	20020131	1	900000000000207008	900000000000073002
56329008	20020131	1	900000000000207008	900000000000074008
57168000	20020131	1	900000000000207008	900000000000073002
57312000	20020131	1	900000000000207008	900000000000074008
57697001	20020131	1	900000000000207008	900000000000074008
57991002	20020131	1	900000000000207008	900000000000074008
58295004	20020131	1	900000000000207008	900000000000074008
58590008	20020131	1	900000000000207008	900000000000074008
58981006	20100131	1	900000000000207008	900000000000073002
59108006	20020731	1	900000000000207008	900000000000073002
59820001	20020131	1	900000000000207008	900000000000074008
60413009	20020131	1	900000000000207008	900000000000074008
60654006	20020131	1	900000000000207008	900000000000073002
62056004	20040731	0	900000000000207008	900000000000074008
62735006	20070131	1	900000000000207008	900000000000073002
63337009	20020131	1	900000000000207008	900000000000074008
63653004	20020131	1	900000000000207008	900000000000074008
63769003	20020731	1	900000000000207008	900000000000073002
64572001	20020131	1	900000000000207008	900000000000074008
65837003	20020131	1	900000000000207008	900000000000073002
66014000	20020131	1	900000000000207008	900000000000074008
66523006	20020131	1	900000000000207008	900000000000074008
66769009	20020131	1	900000000000207008	900000000000073002
67734004	20020131	1	900000000000207008	900000000000074008
67791009	20020131	1	900000000000207008	900000000000073002
67923007	20020131	1	900000000000207008	900000000000074008
68796002	20050131	1	900000000000207008	900000000000073002
69143005	20020131	1	900000000000207008	900000000000073002
69536005	20020131	1	900000000000207008	900000000000074008
69548008	20020131	1	900000000000207008	900000000000074008
69608005	20020131	1	900000000000207008	900000000000074008
70104002	20020131	1	900000000000207008	900000000000074008
71388002	20020131	1	900000000000207008	900000000000074008
71934003	20020131	1	900000000000207008	900000000000074008
72410000	20020131	1	900000000000207008	900000000000074008
74285003	20090131	1	900000000000207008	900000000000073002
74710000	20070731	1	900000000000207008	900000000000073002
74910009	20070131	0	900000000000207008	900000000000074008
74943008	20020131	1	900000000000207008	900000000000073002
75385009	20160131	1	900000000000207008	900000000000073002
77343006	20020131	1	900000000000207008	900000000000073002
77477000	20020131	1	900000000000207008	900000000000073002
77568009	20020131	1	900000000000207008	900000000000074008
78621006	20020131	1	900000000000207008	900000000000074008
78904004	20020131	1	900000000000207008	900000000000074008
79760008	20020131	1	900000000000207008	900000000000073002
80356007	20030131	0	900000000000207008	900000000000074008
80891009	20020131	1	900000000000207008	900000000000074008
81308009	20020131	1	900000000000207008	900000000000073002
82076002	20030131	0	900000000000207008	900000000000074008
82107009	20020131	1	900000000000207008	900000000000074008
82918005	20020131	1	900000000000207008	900000000000073002
83395009	20030131	0	900000000000207008	900000000000074008
83418008	20020131	1	900000000000207008	900000000000074008
83422003	20020131	1	900000000000207008	900000000000073002
83678007	20020131	1	900000000000207008	900000000000074008
83788002	20070131	1	900000000000207008	900000000000073002
84028004	20020131	1	900000000000207008	900000000000073002
84667006	20020131	1	900000000000207008	900000000000074008
84755001	20020131	1	900000000000207008	900000000000074008
85756007	20020131	1	900000000000207008	900000000000074008
85974009	20020731	1	900000000000207008	900000000000073002
86049000	20020131	1	900000000000207008	900000000000074008
86394004	20020131	1	900000000000207008	900000000000074008
87563008	20020131	1	900000000000207008	900000000000074008
87784001	20020131	1	900000000000207008	900000000000074008
88108008	20030731	0	900000000000207008	900000000000074008
89457008	20020131	1	900000000000207008	900000000000074008
89545001	20020131	1	900000000000207008	900000000000074008
89546000	20020131	1	900000000000207008	900000000000074008
89718004	20020131	1	900000000000207008	900000000000074008
89901005	20020131	1	900000000000207008	900000000000073002
90780006	20020131	1	900000000000207008	900000000000074008
91397008	20020131	1	900000000000207008	900000000000074008
91689009	20020131	1	900000000000207008	900000000000074008
91690000	20020131	1	900000000000207008	900000000000074008
91717005	20020131	1	900000000000207008	900000000000074008
91721003	20140131	0	900000000000207008	900000000000074008
91722005	20020131	1	900000000000207008	900000000000074008
91723000	20020131	1	900000000000207008	900000000000074008
91806002	20020131	1	900000000000207008	900000000000074008
91807006	20020131	1	900000000000207008	900000000000074008
91808001	20020131	1	900000000000207008	900000000000074008
91812007	20020131	1	900000000000207008	900000000000074008
91829005	20020131	1	900000000000207008	900000000000074008
91830000	20020131	1	900000000000207008	900000000000074008
93727008	20020131	1	900000000000207008	900000000000073002
93744007	20020131	1	900000000000207008	900000000000073002
93749002	20020731	1	900000000000207008	900000000000073002
93768004	20020131	1	900000000000207008	900000000000073002
93780007	20020731	0	900000000000207008	900000000000074008
93824007	20020131	1	900000000000207008	900000000000073002
93923002	20020131	1	900000000000207008	900000000000073002
93964007	20020131	1	900000000000207008	900000000000073002
94111002	20020131	1	900000000000207008	900000000000073002
94225005	20020131	1	900000000000207008	900000000000073002
94243009	20020131	1	900000000000207008	900000000000073002
94248000	20020731	1	900000000000207008	900000000000074008
94267001	20040731	1	900000000000207008	900000000000073002
94280003	20020131	1	900000000000207008	900000000000073002
94326009	20020131	1	900000000000207008	900000000000073002
94442001	20020731	1	900000000000207008	900000000000073002
94491007	20020131	1	900000000000207008	900000000000073002
102957003	20060131	1	900000000000207008	900000000000074008
103379005	20020131	1	900000000000207008	900000000000074008
103387006	20020131	1	900000000000207008	900000000000074008
103693007	20020131	1	900000000000207008	900000000000073002
105371005	20080731	1	900000000000207008	900000000000073002
105590001	20020131	1	900000000000207008	900000000000074008
105947009	20160131	0	900000000000207008	900000000000074008
106104001	20160131	1	900000000000207008	900000000000073002
106237007	20110131	1	900000000000012004	900000000000074008
107733003	20020131	1	900000000000207008	900000000000073002
108216008	20020131	1	900000000000207008	900000000000074008
108234007	20050731	0	900000000000207008	900000000000074008
108272002	20020731	0	900000000000207008	900000000000074008
108273007	20030131	1	900000000000207008	900000000000073002
108276004	20020131	1	900000000000207008	900000000000073002
108279006	20020131	1	900000000000207008	900000000000073002
108290001	20020131	1	900000000000207008	900000000000074008
108291002	20030731	0	900000000000207008	900000000000074008
108292009	20060731	0	900000000000207008	900000000000074008
108347004	20070131	0	900000000000207008	900000000000074008
108369006	20020131	1	900000000000207008	900000000000074008
110406006	20020131	1	900000000000207008	900000000000074008
112695004	20020731	1	900000000000207008	900000000000073002
